id,host_id,host_since,host_response_time,host_resp_rate_pct,host_accept_rate_pct,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price_usd,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,review_category
144978,216682,2010-08-29,within a few hours,100,89,f,9,t,t,Pacific Heights,37.79233,-122.42431,Private room in rental unit,Private room,1,Unknown,1.0,1.0,55.0,30,365,t,7,24,54,54,120,0,0,2011-07-10,2020-03-31,4.68,4.78,4.45,4.86,4.81,4.81,4.66,f,9,4,5,0,0.86,excellent
958,1169,2008-07-31,within an hour,100,98,t,1,t,t,Western Addition,37.77028,-122.43317,Entire serviced apartment,Entire home/apt,3,1 bath,1.0,2.0,194.0,2,30,t,1,15,35,161,371,57,2,2009-07-23,2022-11-18,4.86,4.93,4.92,4.95,4.88,4.98,4.76,f,1,1,0,0,2.28,excellent
5858,8904,2009-03-02,within a few hours,80,71,f,2,t,t,Bernal Heights,37.74474,-122.42089,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,235.0,30,60,t,30,60,90,365,111,0,0,2009-05-03,2017-08-06,4.88,4.85,4.87,4.89,4.85,4.77,4.68,f,1,1,0,0,0.67,excellent
8142,21994,2009-06-17,within a few hours,100,74,f,12,t,t,Haight Ashbury,37.76555,-122.45213,Private room in rental unit,Private room,1,4 shared baths,1.0,1.0,56.0,32,90,t,30,60,90,365,9,1,0,2014-09-08,2022-10-27,4.67,4.44,4.44,4.78,4.78,4.67,4.67,f,12,0,12,0,0.09,excellent
8739,7149,2009-01-27,within an hour,100,89,t,2,t,t,Mission,37.7603,-122.42197,Private room in condo,Private room,3,1 private bath,1.0,1.0,129.0,1,26,t,15,41,71,161,761,25,1,2009-08-01,2022-11-18,4.91,4.94,4.94,4.95,4.96,4.93,4.74,f,2,0,2,0,4.68,excellent
10537,36752,2009-09-07,within an hour,100,100,t,2,t,t,Bayview,37.7175,-122.39698,Private room,Private room,2,1.5 shared baths,1.0,1.0,95.0,1,90,t,30,60,90,365,18,0,0,2010-02-21,2014-01-18,4.94,4.77,5.0,4.85,5.0,4.08,4.42,f,2,0,2,0,0.12,excellent
10578,37049,2009-09-08,Unknown,88,0,f,1,t,t,Nob Hill,37.79249,-122.41499,Entire rental unit,Entire home/apt,2,1 bath,1.55,1.0,120.0,30,180,t,24,54,84,359,18,0,0,2011-12-23,2015-05-17,4.93,4.76,4.94,4.81,4.94,4.82,4.75,f,1,1,0,0,0.14,excellent
11490,42681,2009-10-01,within an hour,100,50,t,1,t,t,Nob Hill,37.7914,-122.41149,Entire condo,Entire home/apt,4,1 bath,2.0,2.0,115.0,30,1125,t,13,18,45,146,44,3,0,2009-11-08,2022-08-21,4.78,4.94,4.68,4.87,4.9,4.97,4.74,f,1,1,0,0,0.28,excellent
12041,21994,2009-06-17,within a few hours,100,74,f,12,t,t,Haight Ashbury,37.76901,-122.44701,Private room in rental unit,Private room,2,3 shared baths,1.0,2.0,65.0,32,120,t,30,60,90,365,7,1,0,2011-09-18,2022-06-11,4.0,4.14,4.0,4.43,4.86,4.57,3.71,f,12,0,12,0,0.05,average
12042,21994,2009-06-17,within a few hours,100,74,f,12,t,t,Haight Ashbury,37.76932,-122.44723,Private room in rental unit,Private room,2,3 shared baths,1.0,2.0,65.0,32,120,t,30,60,90,365,5,0,0,2013-05-06,2015-10-18,3.2,3.0,3.0,4.8,4.4,4.6,3.8,f,12,0,12,0,0.04,bad
