id,host_resp_rate_pct,host_accept_rate_pct,host_listings_count,latitude,longitude,accommodates,bedrooms,beds,price_usd,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,clusters,cluster
144978,100,89,9,37.79233,-122.42431,1,1.0,1.0,55.0,30,365,7,24,54,54,120,0,0,4.68,4.78,4.45,4.86,4.81,4.81,4.66,9,4,5,0,0.86,1,pink
958,100,98,1,37.77028,-122.43317,3,1.0,2.0,194.0,2,30,1,15,35,161,371,57,2,4.86,4.93,4.92,4.95,4.88,4.98,4.76,1,1,0,0,2.28,1,pink
5858,80,71,2,37.74474,-122.42089,4,2.0,2.0,235.0,30,60,30,60,90,365,111,0,0,4.88,4.85,4.87,4.89,4.85,4.77,4.68,1,1,0,0,0.67,1,pink
8142,100,74,12,37.76555,-122.45213,1,1.0,1.0,56.0,32,90,30,60,90,365,9,1,0,4.67,4.44,4.44,4.78,4.78,4.67,4.67,12,0,12,0,0.09,1,pink
8739,100,89,2,37.7603,-122.42197,3,1.0,1.0,129.0,1,26,15,41,71,161,761,25,1,4.91,4.94,4.94,4.95,4.96,4.93,4.74,2,0,2,0,4.68,1,pink
10537,100,100,2,37.7175,-122.39698,2,1.0,1.0,95.0,1,90,30,60,90,365,18,0,0,4.94,4.77,5.0,4.85,5.0,4.08,4.42,2,0,2,0,0.12,1,pink
10578,88,0,1,37.79249,-122.41499,2,1.55,1.0,120.0,30,180,24,54,84,359,18,0,0,4.93,4.76,4.94,4.81,4.94,4.82,4.75,1,1,0,0,0.14,1,pink
11490,100,50,1,37.7914,-122.41149,4,2.0,2.0,115.0,30,1125,13,18,45,146,44,3,0,4.78,4.94,4.68,4.87,4.9,4.97,4.74,1,1,0,0,0.28,1,pink
12041,100,74,12,37.76901,-122.44701,2,1.0,2.0,65.0,32,120,30,60,90,365,7,1,0,4.0,4.14,4.0,4.43,4.86,4.57,3.71,12,0,12,0,0.05,1,pink
12042,100,74,12,37.76932,-122.44723,2,1.0,2.0,65.0,32,120,30,60,90,365,5,0,0,3.2,3.0,3.0,4.8,4.4,4.6,3.8,12,0,12,0,0.04,1,pink
12522,100,96,1,37.76237,-122.42992,2,1.0,1.0,99.0,3,27,4,18,21,21,440,13,2,4.92,4.94,4.9,4.95,4.96,4.94,4.93,1,0,1,0,2.8,1,pink
18904,100,73,2,37.77247,-122.43301,2,1.0,1.0,116.0,3,31,5,30,60,60,440,26,1,4.88,4.9,4.94,4.91,4.91,4.9,4.77,1,0,1,0,3.29,1,pink
21334,100,100,1,37.7962,-122.41562,2,1.0,1.0,149.0,30,30,30,60,90,365,124,2,0,4.87,4.94,4.63,4.99,4.97,4.87,4.83,1,1,0,0,0.81,1,pink
23611,100,100,1,37.74537,-122.41226,2,1.0,1.0,286.0,5,25,0,16,16,18,261,7,0,4.89,4.94,4.93,4.96,4.95,4.77,4.83,1,1,0,0,1.7,1,pink
24463,100,98,2,37.75565,-122.40125,2,1.0,1.0,165.0,2,21,27,51,81,222,349,35,1,4.9,4.96,4.88,4.98,4.98,4.85,4.76,2,1,1,0,2.29,1,pink
24723,100,95,3,37.78897,-122.43376,4,1.0,1.0,195.0,5,31,8,14,33,44,396,37,5,4.83,4.88,4.92,4.92,4.93,4.91,4.82,2,2,0,0,2.57,1,pink
25094,100,93,1,37.74159,-122.43159,2,1.0,1.0,165.0,5,45,27,57,75,332,59,9,1,4.97,5.0,5.0,4.98,5.0,4.98,4.9,1,0,1,0,0.75,1,pink
27025,100,88,1,37.76195907592773,-122.4311294555664,2,1.0,1.0,119.0,30,1125,1,1,1,187,133,0,0,4.98,4.96,4.99,4.96,4.98,4.92,4.91,1,1,0,0,0.87,1,pink
27028,100,89,2,37.76005,-122.42208,4,1.0,2.0,215.0,1,29,0,0,0,0,26,0,0,4.77,5.0,4.88,4.81,4.92,4.88,4.58,2,0,2,0,0.29,1,pink
29373,100,100,3,37.73871,-122.41167,4,2.0,2.0,160.0,7,80,0,0,0,0,18,1,0,4.88,4.83,4.94,5.0,5.0,4.61,4.83,2,1,1,0,0.13,1,pink
29557,100,93,1,37.77885,-122.50534,4,1.0,2.0,175.0,2,30,22,48,75,340,111,24,1,4.97,4.97,4.94,4.99,4.99,4.91,4.9,1,1,0,0,0.74,1,pink
32414,50,0,1,37.74038,-122.41327,2,1.0,2.0,150.0,30,30,2,3,6,156,94,0,0,4.81,4.94,4.96,4.96,4.94,4.48,4.61,1,1,0,0,0.62,1,pink
33578,100,97,2,37.76451,-122.39643,2,1.0,1.0,290.0,1,14,17,42,72,343,708,69,4,4.95,4.95,4.94,4.99,4.99,4.88,4.8,2,2,0,0,4.76,1,pink
39418,100,80,2,37.741,-122.42018,2,1.55,1.0,80.0,30,205,0,0,0,72,25,3,0,4.92,4.8,4.84,4.84,4.92,4.88,4.67,2,2,0,0,0.18,1,pink
40092,100,97,7,37.7617,-122.41887,2,1.0,1.0,106.0,30,30,5,5,5,143,104,4,0,4.63,4.73,4.68,4.86,4.84,4.43,4.6,2,2,0,0,0.7,1,pink
41055,100,88,2,37.76123,-122.43326,3,1.0,1.0,144.0,4,29,4,7,14,14,74,15,1,4.79,4.87,4.48,4.79,4.88,4.94,4.85,1,1,0,0,0.5,1,pink
41172,100,97,1,37.74132,-122.41818,2,1.0,1.0,129.0,3,30,18,48,78,353,298,21,0,4.9,4.93,4.83,4.96,4.97,4.85,4.84,1,0,1,0,2.0,1,pink
41609,100,100,1,37.78887,-122.41306,3,1.0,2.0,165.0,30,730,0,0,0,252,27,4,0,4.96,5.0,4.85,4.96,4.96,4.96,4.81,1,1,0,0,0.18,1,pink
42060,100,100,1,37.7696,-122.43223,2,1.0,1.0,100.0,60,84,0,4,34,111,6,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,1,0,0,0.04,1,pink
44032,100,100,1,37.75158,-122.41158,2,1.0,1.0,99.0,30,121,0,22,52,52,298,3,1,4.84,4.89,4.85,4.94,4.94,4.59,4.75,1,1,0,0,1.99,1,pink
47682,100,89,9,37.79186,-122.42429,2,1.0,1.0,130.0,30,365,30,60,90,365,34,4,0,4.85,4.81,4.71,5.0,4.9,4.9,4.86,9,4,5,0,0.23,1,pink
51557,88,100,1,37.7714,-122.42935,2,1.0,1.0,125.0,31,180,23,53,83,358,109,1,0,4.89,4.9,4.86,4.98,4.99,4.87,4.79,1,1,0,0,0.73,1,pink
51773,100,89,9,37.79373,-122.42507,1,1.0,1.0,57.0,30,730,2,32,62,337,166,1,0,4.61,4.76,4.41,4.91,4.9,4.83,4.72,9,4,5,0,1.18,1,pink
53280,100,100,3,37.73805,-122.41165,2,1.0,1.0,95.0,3,60,0,0,0,126,145,0,0,4.89,4.92,4.9,4.96,4.95,4.66,4.86,2,1,1,0,0.98,1,pink
54518,88,71,1,37.79337,-122.40198,2,1.0,1.0,129.0,30,365,0,0,0,156,21,2,0,4.59,4.89,4.67,4.78,4.82,4.94,4.78,1,1,0,0,0.15,1,pink
54634,100,89,9,37.79352,-122.42649,2,1.0,1.0,110.0,30,730,30,60,90,365,49,3,0,4.72,4.78,4.56,4.98,4.91,4.91,4.51,9,4,5,0,0.33,1,pink
56621,100,89,9,37.79183,-122.42425,1,1.0,1.0,60.0,30,365,0,9,16,272,127,0,0,4.65,4.68,4.25,4.81,4.8,4.78,4.6,9,4,5,0,0.86,1,pink
57561,100,78,1,37.74684,-122.41548,2,1.0,1.0,178.0,30,90,13,18,48,323,221,2,0,4.62,4.77,4.6,4.88,4.65,4.39,4.59,1,1,0,0,1.5,1,pink
57676,0,20,2,37.75758,-122.42043,1,1.0,1.0,99.0,30,360,0,0,0,0,122,0,0,4.71,4.78,4.37,4.79,4.78,4.81,4.54,2,0,2,0,0.86,1,pink
59702,88,88,1,37.74188,-122.4127,2,1.0,1.0,150.0,30,60,18,33,51,129,192,0,0,4.9,4.81,4.79,4.97,4.98,4.83,4.82,1,0,1,0,1.38,1,pink
60365,100,96,6,37.77034,-122.43594,6,3.0,4.0,375.0,4,30,1,7,37,127,244,16,1,4.87,4.86,4.93,4.91,4.91,4.86,4.78,2,2,0,0,1.68,1,pink
64165,100,58,3,37.80284,-122.42839,2,1.0,1.0,101.0,30,150,30,32,59,334,76,6,1,4.97,4.87,4.85,4.91,4.94,4.9,4.84,3,2,1,0,0.55,1,pink
66119,100,100,2,37.77737,-122.47985,2,1.55,2.0,95.0,30,360,16,46,76,351,101,1,1,4.19,4.47,4.35,4.83,4.72,4.36,4.1,2,2,0,0,0.73,1,pink
69410,100,73,1,37.77585,-122.46413,2,1.0,2.0,80.0,30,365,30,60,90,365,64,6,1,4.92,4.84,4.81,4.94,4.98,4.9,4.79,1,1,0,0,0.45,1,pink
70139,100,94,4,37.74544,-122.42271,3,1.0,2.0,110.0,30,365,2,28,31,129,16,5,0,4.87,4.93,5.0,4.93,5.0,5.0,4.93,1,1,0,0,0.12,1,pink
70753,100,99,3,37.7937,-122.40417,8,1.0,8.0,43.0,1,365,30,60,90,271,437,33,0,4.63,4.72,4.55,4.86,4.86,4.82,4.66,3,0,1,2,3.03,1,pink
71645,100,99,1,37.74409,-122.40846,2,1.0,1.0,114.0,3,26,10,18,23,73,263,64,3,4.93,4.99,4.98,4.98,4.97,4.76,4.8,1,1,0,0,3.2,1,pink
71779,88,0,1,37.77487,-122.46543,2,1.0,2.0,100.0,30,365,2,31,61,336,2,0,0,3.0,4.5,4.0,5.0,5.0,4.0,4.0,1,1,0,0,0.01,1,pink
72444,100,99,3,37.7937,-122.40417,2,1.0,4.0,48.0,1,365,30,60,89,270,544,55,3,4.73,4.73,4.6,4.84,4.88,4.8,4.74,3,0,1,2,3.82,1,pink
72921,56,59,1,37.77487,-122.43221,3,1.0,2.0,85.0,30,365,30,60,90,365,54,1,0,4.43,4.57,4.32,4.84,4.63,4.78,4.42,1,1,0,0,0.38,1,pink
77175,100,95,1,37.73711,-122.43525,2,1.0,1.0,134.0,3,30,9,23,53,143,358,32,0,4.88,4.92,4.95,4.93,4.95,4.79,4.82,1,1,0,0,2.52,1,pink
78651,0,20,2,37.75585,-122.42081,1,1.0,1.0,85.0,30,360,29,59,89,364,92,0,0,4.73,4.73,4.38,4.89,4.89,4.78,4.65,2,0,2,0,0.66,1,pink
80394,88,75,1,37.77065,-122.44433,2,1.0,1.0,135.0,30,30,0,0,0,0,28,1,0,4.92,4.92,5.0,4.84,4.88,4.68,4.8,1,1,0,0,0.26,1,pink
81158,100,100,1,37.78408,-122.44436,4,1.0,2.0,83.0,30,330,0,0,27,157,28,4,0,4.79,4.93,4.78,4.96,4.96,4.93,4.74,1,1,0,0,0.2,1,pink
83257,100,81,1,37.78353,-122.44369,1,1.0,1.0,90.0,13,1125,0,0,3,129,105,5,1,4.85,4.82,4.74,4.9,4.9,4.66,4.72,1,0,1,0,0.75,1,pink
91957,100,88,1,37.76114,-122.44929,6,2.0,2.0,225.0,30,730,2,32,62,337,95,0,0,4.73,4.74,4.73,4.96,4.87,4.86,4.64,1,1,0,0,0.7,1,pink
96383,100,89,9,37.79359,-122.42421,1,1.0,1.0,65.0,30,365,0,13,43,318,141,1,0,4.71,4.85,4.52,4.88,4.92,4.86,4.75,9,4,5,0,1.0,1,pink
99094,88,100,1,37.76945,-122.42456,4,2.0,3.0,249.0,30,1125,0,0,0,169,23,2,0,4.95,4.95,4.95,4.86,4.91,4.77,4.77,1,1,0,0,0.16,1,pink
105497,88,88,4,37.75699,-122.4973,1,1.0,1.0,90.0,45,730,0,0,0,0,4,0,0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,0,4,0,0.06,1,pink
106025,100,100,1,37.78693,-122.41539,2,2.0,2.0,122.0,30,90,22,52,82,172,64,1,0,4.91,4.93,4.89,4.82,4.89,4.14,4.84,1,1,0,0,0.45,1,pink
109883,100,100,1,37.73241,-122.46432,4,2.0,2.0,160.0,2,28,13,30,30,187,453,41,1,4.72,4.79,4.72,4.85,4.83,4.81,4.67,1,1,0,0,3.24,1,pink
110825,100,0,1,37.71664,-122.38981,4,2.0,2.0,120.0,30,730,0,17,47,322,9,0,0,4.71,5.0,4.56,4.78,4.89,4.33,4.78,1,1,0,0,0.07,1,pink
114401,100,97,1,37.75939,-122.43051,1,1.0,1.0,115.0,1,1125,21,51,81,356,680,62,3,4.87,4.9,4.65,4.98,4.97,4.96,4.82,1,0,1,0,4.85,1,pink
115242,100,100,3,37.80599,-122.40943,3,1.0,2.0,130.0,30,365,0,9,9,256,18,3,0,4.88,4.89,4.78,4.94,4.94,5.0,4.61,1,1,0,0,0.13,1,pink
121065,100,0,2,37.77117,-122.43292,1,1.0,1.0,120.0,30,30,0,0,0,0,36,0,0,4.94,4.94,4.91,4.88,4.91,4.94,4.73,2,2,0,0,0.28,1,pink
128230,88,100,1,37.75737,-122.43566,3,1.0,1.0,350.0,3,15,0,0,0,64,174,9,0,4.93,4.95,4.94,4.89,4.88,4.94,4.81,1,1,0,0,1.24,1,pink
130775,100,74,12,37.76555,-122.45213,1,1.0,1.0,56.0,32,90,30,60,90,365,11,0,0,4.36,4.0,3.73,4.82,4.73,4.91,4.09,12,0,12,0,0.09,1,pink
132441,100,100,1,37.73987,-122.4234,2,1.0,1.0,96.0,1,7,29,59,89,179,179,28,1,4.85,4.88,4.87,4.93,4.85,4.79,4.8,1,0,1,0,1.28,1,pink
138221,100,83,2,37.77664,-122.45586,2,1.0,1.0,140.0,30,365,11,12,42,132,80,2,0,4.84,4.86,4.71,4.96,4.92,4.73,4.68,2,2,0,0,0.58,1,pink
138619,100,84,1,37.79777,-122.40451,2,1.0,1.0,175.0,3,30,21,26,44,303,85,18,0,4.68,4.82,4.45,4.83,4.89,4.88,4.65,1,1,0,0,0.61,1,pink
142177,100,95,1,37.7844,-122.47932,4,2.0,2.0,425.0,5,25,3,13,40,40,231,11,0,4.91,4.93,4.87,4.95,4.97,4.78,4.79,1,1,0,0,1.71,1,pink
144242,100,82,2,37.78546,-122.46148,6,3.0,3.0,495.0,3,60,12,16,16,98,22,2,0,4.86,4.95,4.89,5.0,5.0,4.89,4.95,1,1,0,0,0.16,1,pink
769734,100,64,1,37.75796,-122.40913,1,1.0,1.0,90.0,2,30,22,47,75,161,121,12,2,4.79,4.86,4.64,4.98,4.92,4.9,4.74,1,0,1,0,1.11,1,pink
774323,90,100,2,37.76034,-122.42394,2,1.0,1.0,150.0,2,28,20,44,67,157,440,25,3,4.88,4.92,4.78,4.94,4.93,4.94,4.78,2,0,2,0,3.63,1,pink
776239,100,83,2,37.75948,-122.44357,6,3.0,5.0,375.0,30,1125,30,60,90,118,46,11,0,4.98,4.98,4.91,5.0,4.98,4.89,4.83,2,2,0,0,0.59,1,pink
779109,100,100,2,37.74869,-122.41935,3,1.0,1.0,170.0,30,1125,12,29,59,334,174,1,0,4.89,4.97,4.94,4.97,4.97,4.8,4.73,2,1,1,0,1.89,1,pink
781945,88,88,1,37.78471,-122.39852,4,2.0,2.0,350.0,183,1195,0,0,0,0,3,0,0,4.0,3.0,3.0,2.0,5.0,5.0,4.0,1,1,0,0,0.03,1,pink
783821,100,100,3,37.75919,-122.43723,2,1.0,1.0,395.0,30,180,1,1,31,306,23,2,0,4.83,4.91,4.78,5.0,5.0,4.91,4.65,3,3,0,0,0.22,1,pink
784071,88,100,2,37.7601,-122.42869,4,2.0,2.0,300.0,30,1125,24,54,84,359,97,4,0,4.9,4.86,4.92,4.98,4.95,4.93,4.84,1,1,0,0,0.79,1,pink
794626,80,76,1,37.72882,-122.42539,6,1.0,4.0,115.0,2,26,15,39,69,313,320,33,1,4.62,4.72,4.69,4.88,4.85,4.59,4.56,1,1,0,0,2.65,1,pink
